,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
5,1630215,2024-25,00,0,TOT,24.0,60,17,17.4,3.4,7.6,0.448,1.0,2.8,0.355,1.3,1.5,0.824,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9.0
0,202710,2011-12,00,1610612741,CHI,22.0,42,0,8.5,0.8,1.9,0.405,0.0,0.3,0.182,1.0,1.3,0.768,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,2.6
1,202710,2012-13,00,1610612741,CHI,23.0,82,20,26.0,2.9,6.2,0.467,0.5,1.3,0.381,2.3,2.8,0.803,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,8.6
2,202710,2013-14,00,1610612741,CHI,24.0,67,67,38.7,4.1,10.3,0.397,1.0,3.6,0.283,3.9,5.0,0.769,1.3,3.6,4.9,2.6,1.9,0.5,1.5,1.6,13.1
3,202710,2014-15,00,1610612741,CHI,25.0,65,65,38.7,6.5,14.0,0.462,1.1,3.0,0.378,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0
4,202710,2015-16,00,1610612741,CHI,26.0,67,67,36.9,7.0,15.4,0.454,1.0,3.1,0.312,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9
5,202710,2016-17,00,1610612741,CHI,27.0,76,75,37.0,7.5,16.5,0.455,1.2,3.3,0.367,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9
6,202710,2017-18,00,1610612750,MIN,28.0,59,59,36.7,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2
7,202710,2018-19,00,1610612750,MIN,29.0,10,10,36.1,7.4,15.7,0.471,1.7,4.5,0.378,4.8,6.1,0.787,1.6,3.6,5.2,4.3,2.4,1.0,1.4,1.8,21.3
8,202710,2018-19,00,1610612755,PHI,29.0,55,55,33.2,6.3,13.6,0.461,0.9,2.7,0.338,4.8,5.5,0.868,1.9,3.4,5.3,4.0,1.8,0.5,1.5,1.7,18.2
