PLAYER_ID,GP,REB,AST,STL,BLK,TOV,PTS,FG_PCT,3_PCT,FT_PCT,PLAYER_NAME
1641752,9,1.1,0.8,0.4,0.1,0.1,1.9,0.583,0.4,0.333,Bobi Klintman
1642261,84,2.7,0.8,0.3,0.1,0.5,8.9,0.459,0.367,0.764,Dalton Knecht
1628995,413,2.7,0.7,0.4,0.2,0.8,6.9,0.401,0.338,0.728,Kevin Knox II
1642278,47,0.7,1.7,0.3,0.1,0.5,2.1,0.347,0.293,0.765,Tyler Kolek
1631132,97,2.7,0.5,0.3,0.8,0.3,2.8,0.519,0.062,0.644,Christian Koloko
1629723,314,4.0,1.4,0.8,0.4,0.5,4.2,0.471,0.363,0.728,John Konchar
1628436,401,3.3,1.1,0.3,0.8,0.4,5.0,0.528,0.31,0.759,Luke Kornet
1630249,141,2.4,1.9,0.5,0.3,0.8,5.6,0.463,0.394,0.756,Vít Krejčí
1630228,265,4.1,1.8,0.6,0.4,1.4,12.6,0.508,0.336,0.701,Jonathan Kuminga
1628398,611,6.2,2.6,0.6,0.5,2.2,16.7,0.449,0.331,0.712,Kyle Kuzma
1631222,209,3.6,2.0,0.8,0.3,1.2,7.1,0.451,0.391,0.718,Jake LaRavia
203897,734,4.1,4.0,0.9,0.3,2.6,21.1,0.475,0.398,0.833,Zach LaVine
1627746,174,4.1,0.9,0.3,0.6,0.9,6.6,0.494,0.374,0.734,Skal Labissiere
1629111,228,3.4,1.0,0.3,0.4,0.7,5.6,0.522,0.311,0.769,Jock Landale
1641796,61,1.8,1.3,0.6,0.1,0.5,4.9,0.451,0.345,0.696,Pelle Larsson
1630639,98,1.8,0.6,0.3,0.1,0.4,4.9,0.446,0.328,0.608,A.J. Lawson
1627747,696,3.8,4.1,1.0,0.4,1.7,14.4,0.44,0.344,0.742,Caris LeVert
1627814,315,3.2,1.3,0.6,0.1,0.8,7.8,0.433,0.374,0.881,Damion Lee
203458,855,5.0,0.8,0.4,0.9,1.0,6.5,0.52,0.313,0.671,Alex Len
202695,738,6.4,3.1,1.7,0.6,1.7,20.1,0.499,0.393,0.86,Kawhi Leonard
1642502,6,0.5,0.2,0.0,0.0,0.2,0.3,0.0,0.0,0.5,Malevy Leons
1641721,90,1.3,0.5,0.2,0.2,0.4,2.7,0.397,0.358,0.696,Maxwell Lewis
1630604,21,0.8,0.2,0.1,0.1,0.2,1.5,0.458,0.235,1.0,E.J. Liddell
203081,900,4.3,6.7,1.0,0.3,2.8,25.1,0.439,0.371,0.899,Damian Lillard
1641726,94,7.1,1.6,0.6,1.5,1.0,8.6,0.73,0.0,0.563,Dereck Lively II
1641753,42,1.3,0.2,0.2,0.0,0.3,1.3,0.408,0.077,0.75,Chris Livingston
1626172,600,5.7,1.6,0.5,0.5,0.6,5.0,0.574,0.182,0.608,Kevon Looney
201572,1110,6.1,1.5,0.6,1.9,1.6,15.8,0.496,0.352,0.797,Brook Lopez
201567,1015,9.8,2.3,0.6,0.4,1.7,15.7,0.436,0.366,0.829,Kevin Love
200768,1311,4.1,5.8,1.2,0.3,2.2,13.3,0.424,0.367,0.815,Kyle Lowry
1641754,9,0.8,0.0,0.0,0.0,0.1,1.6,0.235,0.231,0.75,Seth Lundy
1626168,725,4.4,1.1,0.4,0.4,0.8,7.9,0.444,0.344,0.753,Trey Lyles
1630572,241,3.3,1.1,0.3,0.3,0.6,5.4,0.464,0.342,0.724,Sandro Mamukelashvili
1629611,485,3.5,1.9,0.6,0.2,0.8,8.1,0.503,0.371,0.771,Terance Mann
1630544,229,3.0,2.6,0.9,0.1,1.3,9.4,0.415,0.35,0.786,Tre Mann
1628374,456,7.1,1.5,0.7,0.5,1.4,18.4,0.456,0.371,0.867,Lauri Markkanen
1630230,305,3.8,2.2,0.8,0.2,1.2,8.8,0.455,0.301,0.79,Naji Marshall
1628997,361,3.9,1.7,0.9,0.4,1.0,8.2,0.444,0.357,0.715,Caleb Martin
1628998,312,3.8,2.2,1.0,0.4,0.9,6.3,0.433,0.303,0.668,Cody Martin
1641798,32,2.8,1.1,0.6,0.0,0.8,4.9,0.419,0.304,0.9,Jaylen Martin
